Tonga,Gloss,Tone,C1,C2,maxf0,minf0,meanf0,diff.f0,intensity,duration,C1.class,C2.class
ku-got-a,arrive at goal,H,g,t,150.8555096,139.7386015,145.7691495,0.6355504,70.96408821,67.58126305,voiced obstruents,voiceless obstruents
ku-hay-a,shout praises,H,h,y,148.7621604,126.2410944,136.1474043,-7.5700959,72.80733705,109.3540083,aspirates,sonorants
ku-jomb-a,be absent from wrk,H,j,mb,152.1169059,149.0171855,150.8487914,1.7614188,71.80446914,56.48347341,voiced obstruents,prenasalized voiced stops
ku-khat-a,stick in throat,H,kh,t,143.1257838,134.7750855,137.3880466,-6.3658592,69.94529653,53.30245981,aspirates,voiceless obstruents
ku-phal-a,wn race,H,ph,l,145.4870822,136.1199278,138.6911798,-7.2571106,72.65493275,60.80160171,aspirates,sonorants
ku-thel-a,give up,H,th,l,152.9283349,149.1767675,150.2445944,2.5321658,70.68568618,83.64514561,aspirates,sonorants
ku-vuk-a,be wary,H,v,k,148.5062565,139.9864614,145.7109834,10.2736435,65.82233339,43.65540144,voiced obstruents,voiceless obstruents
ku-zilwa,be rich,H,z,lw,152.1266157,139.0071013,148.4383006,0.065754,69.67168265,64.64816313,voiced obstruents,sonorant wth glide
ku-bal-a,bear offspring,L,b,l,137.0544142,128.7622832,132.2948842,2.3715193,75.55261183,64.35814857,voiced obstruents,sonorants
ku-biy-a,steal for,L,b,y,147.3488511,125.8091629,134.9093067,3.1432972,67.51388057,69.47899206,voiced obstruents,sonorants
ku-dan-a,call,L,d,n,143.2580901,133.6321396,140.218637,2.02108,74.82857092,72.93358936,voiced obstruents,sonorants
ku-dik-a,spill,L,d,k,141.653403,130.9373151,137.0819413,3.5517688,66.0885226,56.6638014,voiced obstruents,voiceless obstruents
ku-gal-a,ride horse,L,g,l,149.4459113,132.058465,142.4209066,-1.9097911,76.44658393,70.70933161,voiced obstruents,sonorants
ku-gon-a,sleep,L,g,n,151.2938983,137.8765267,147.4251549,9.7226614,72.68952182,69.15556019,voiced obstruents,sonorants
ku-hal-a,inherit,L,h,l,160.0027307,145.3210141,152.5087199,7.6138993,75.55966769,72.66277329,aspirates,sonorants
ku-hol-a,receive,L,h,l,165.4377608,147.4572228,157.7937566,23.3222134,71.63209949,67.59289944,aspirates,sonorants
ku-jam-a,dance,L,j,m,152.4978399,149.9041931,151.4340851,14.6397527,76.59039668,66.43010444,voiced obstruents,sonorants
ku-khat-a,cut lightly,L,kh,t,159.6724266,146.6234725,150.9961103,11.3412831,72.56774872,63.47234279,aspirates,voiceless obstruents
ku-nthony-a,leak,L,nth,ny,159.9959953,148.8676328,152.8740495,-3.3904672,68.68249064,66.78875413,prenasalized aspirates,sonorant wth glide
ku-phut-a,blowon,L,ph,t,157.556723,152.0985565,154.7510641,15.9386752,65.58004902,47.11739623,aspirates,voiceless obstruents
ku-thel-a,arrive at goal,L,th,l,173.6959319,163.1097274,167.5357031,26.7275753,73.05730132,80.8442334,aspirates,sonorants
ku-vin-a,dance,L,v,n,149.0220807,137.020219,146.6012625,3.643782,69.21681377,51.60928839,voiced obstruents,sonorants
ku-vun-a,harvest,L,v,n,152.3248763,135.6338492,145.2397015,-0.8461318,69.39967382,47.57623613,voiced obstruents,sonorants
ku-zil-a,reject,L,z,l,149.0923391,140.2726007,146.903566,2.8465043,68.35797587,41.07340968,voiced obstruents,sonorants
ku-cinth-a,be strong,H,c,nth,152.7057648,139.310408,148.2637272,6.686654,67.80298175,57.60162626,voiceless obstruents,aspirates
ku-fuz-a,be full,L,f,z,218.4800319,186.6397069,212.1308269,77.8862156,70.96309115,69.35850248,voiceless obstruents,voiced obstruents
ku-koz-a,urinate,L,k,z,212.9347177,185.2512021,207.1727008,65.3978899,74.1484806,90.93653017,voiceless obstruents,voiced obstruents
ku-likh-a,cut dow tree,L,l,kh,212.9131954,182.561961,203.0495488,41.702403,72.6916733,74.34875299,sonorants,aspirates
